Humidity,Temperature,Step count,Stress Level
21.48,90.18,123,1
16.96,86.0,35,0
23.94,92.94,74,1
25.1,94.56,166,2
25.16,94.32,154,2
16.41,85.56,51,0
17.17,86.65,118,1
28.02,96.87,193,2
24.74,93.5,160,2
17.65,86.9,70,1
24.23,93.04,150,2
27.5,96.55,193,2
29.33,98.57,155,2
11.7,81.04,34,0
27.1,96.2,197,2
17.76,86.89,120,1
27.27,95.87,157,2
21.5,90.44,81,1
20.99,89.93,78,1
22.15,91.23,137,1
29.3,97.83,174,2
10.93,79.48,52,0
28.67,97.75,166,2
28.82,98.18,184,2
19.67,88.26,99,1
29.46,98.54,142,2
10.05,79.17,60,0
21.97,91.01,127,1
27.93,97.34,184,2
28.38,97.69,195,2
12.34,81.01,70,0
14.32,83.51,51,0
25.11,93.82,147,2
15.27,84.4,16,0
21.17,89.82,136,1
26.61,95.33,158,2
22.22,90.78,115,1
27.61,96.32,188,2
12.2,80.8,21,0
26.08,95.43,180,2
20.89,89.81,112,1
29.31,98.04,185,2
11.01,79.91,66,0
13.55,82.97,70,0
25.45,94.41,164,2
17.98,86.93,84,1
13.6,82.21,53,0
24.94,94.01,178,2
20.97,90.32,137,1
19.06,88.53,104,1
26.35,95.57,152,2
19.74,88.68,88,1
24.36,93.0,172,2
23.62,92.26,128,1
27.31,96.57,169,2
19.52,88.96,130,1
25.26,94.57,149,2
22.73,91.89,73,1
13.56,83.03,39,0
23.21,92.42,78,1
21.36,90.35,105,1
21.85,91.19,100,1
15.45,84.1,54,0
25.4,93.99,175,2
18.88,87.59,89,1
20.41,89.01,126,1
25.69,94.91,180,2
14.44,83.33,12,0
27.37,96.74,198,2
24.02,93.0,155,2
19.57,88.13,121,1
28.15,97.39,158,2
12.31,81.79,36,0
19.11,88.47,102,1
15.21,84.65,24,0
18.45,87.25,85,1
14.31,83.75,30,0
11.55,80.97,24,0
20.77,89.7,118,1
18.4,87.32,109,1
29.53,98.5,196,2
11.59,80.32,16,0
10.91,80.21,58,0
29.8,98.56,174,2
20.53,89.16,77,1
19.88,89.36,86,1
12.47,81.79,69,0
27.65,96.7,148,2
25.15,94.44,183,2
20.36,89.59,104,1
15.38,84.15,56,0
19.07,88.1,87,1
14.08,83.0,57,0
29.3,97.86,162,2
29.05,97.86,163,2
28.69,97.47,193,2
18.5,87.13,99,1
18.46,87.39,70,1
22.57,91.53,73,1
20.37,89.47,116,1
29.01,97.85,195,2
24.87,93.71,195,2
13.33,82.68,69,0
23.17,92.45,94,1
21.44,90.49,123,1
22.91,91.91,92,1
22.04,91.48,137,1
26.91,95.43,163,2
24.65,93.62,158,2
16.04,84.58,3,0
10.46,79.25,42,0
19.26,88.06,129,1
24.79,93.49,179,2
12.65,81.93,59,0
18.18,87.67,77,1
28.2,97.6,180,2
14.69,84.11,69,0
25.04,93.98,158,2
26.65,95.83,176,2
17.37,86.3,85,1
16.37,85.19,15,0
16.14,85.11,3,0
25.36,94.5,187,2
11.51,80.17,36,0
12.91,81.58,30,0
27.76,96.69,185,2
12.31,81.67,61,0
29.57,98.51,164,2
11.66,80.66,1,0
13.97,83.35,18,0
28.15,97.57,196,2
25.02,94.01,141,2
24.7,94.19,167,2
23.27,92.52,100,1
18.34,87.72,93,1
21.46,90.65,87,1
12.33,80.86,28,0
22.6,91.92,74,1
14.31,83.04,41,0
16.55,85.62,1,0
27.78,96.71,164,2
25.77,94.91,153,2
24.61,93.23,158,2
28.51,97.05,172,2
16.12,85.07,46,0
20.92,90.0,98,1
25.12,94.39,164,2
24.57,94.04,171,2
21.71,90.58,82,1
19.81,89.18,129,1
16.78,85.68,47,0
29.92,98.65,181,2
24.42,93.4,189,2
18.41,87.62,99,1
22.92,91.9,89,1
21.19,90.21,135,1
27.88,97.33,146,2
24.53,93.59,179,2
21.65,90.28,106,1
19.52,88.32,99,1
28.35,97.04,167,2
13.67,82.94,34,0
17.0,86.46,123,1
12.54,81.74,23,0
11.71,81.2,6,0
18.67,87.55,98,1
15.06,84.26,46,0
22.56,91.12,130,1
24.97,93.51,141,2
22.5,91.44,119,1
15.44,84.86,20,0
15.55,84.87,33,0
22.57,91.14,119,1
15.99,85.44,47,0
15.12,84.46,51,0
29.36,98.35,162,2
25.71,94.92,186,2
14.08,83.51,28,0
28.91,97.69,198,2
10.83,79.9,18,0
18.05,87.39,84,1
22.99,91.64,130,1
25.28,93.96,143,2
19.88,88.91,76,1
25.1,93.92,184,2
27.21,96.04,171,2
28.24,96.99,190,2
18.41,87.9,99,1
28.94,97.98,186,2
22.23,91.11,125,1
27.08,96.11,175,2
26.62,96.0,158,2
17.14,86.0,124,1
21.44,89.95,73,1
14.67,83.69,23,0
23.09,91.8,106,1
15.68,85.07,32,0
11.41,80.59,63,0
10.75,79.75,7,0
19.14,88.32,76,1
24.12,93.19,149,2
12.73,81.88,47,0
19.53,88.59,101,1
28.21,97.55,186,2
24.79,94.28,145,2
22.49,91.85,132,1
12.42,81.79,37,0
17.43,86.16,134,1
27.73,96.89,147,2
18.38,87.32,104,1
29.57,98.56,164,2
14.21,83.44,31,0
28.45,97.15,189,2
22.17,91.41,122,1
13.87,83.13,56,0
17.86,86.69,79,1
21.87,90.4,108,1
24.12,93.19,173,2
25.23,94.54,154,2
22.45,91.06,86,1
11.17,80.08,65,0
12.86,81.5,39,0
23.15,92.3,85,1
20.03,89.04,98,1
22.59,91.2,92,1
28.0,97.3,161,2
10.21,79.0,51,0
23.22,91.85,72,1
25.32,94.32,140,2
11.99,80.75,57,0
18.34,87.82,83,1
12.29,81.48,34,0
29.81,98.58,193,2
26.89,95.65,173,2
12.74,81.34,3,0
18.15,87.1,77,1
11.78,80.69,43,0
11.4,80.27,38,0
27.19,96.18,145,2
23.16,92.23,99,1
10.57,79.84,33,0
29.9,98.6,177,2
11.71,80.55,52,0
19.88,88.5,96,1
17.43,86.0,94,1
17.0,86.01,97,1
12.78,81.9,39,0
24.77,93.82,146,2
22.74,91.44,94,1
20.13,89.11,106,1
28.68,97.46,184,2
28.83,97.55,145,2
21.41,90.55,81,1
27.48,96.3,158,2
17.41,86.37,89,1
24.45,93.16,189,2
13.91,82.76,1,0
23.53,92.31,109,1
21.72,90.37,126,1
21.1,89.6,90,1
12.07,80.89,69,0
24.17,93.0,160,2
16.99,85.59,35,0
26.05,94.86,179,2
15.43,84.57,16,0
22.43,91.08,135,1
22.1,91.59,79,1
17.88,86.49,74,1
16.45,85.42,45,0
19.85,88.53,100,1
11.68,81.13,0,0
16.97,85.75,4,0
17.29,86.45,121,1
23.44,91.95,116,1
12.27,81.54,2,0
20.03,89.43,80,1
17.34,86.43,139,1
24.06,93.39,199,2
21.66,90.16,119,1
22.24,91.42,113,1
10.44,79.65,37,0
19.61,88.84,86,1
24.13,93.56,178,2
13.58,82.75,45,0
27.91,97.03,196,2
18.63,87.95,89,1
27.91,96.55,172,2
17.29,86.7,76,1
18.96,88.1,119,1
14.52,83.2,64,0
17.89,86.62,114,1
29.85,99.0,142,2
19.03,87.75,99,1
26.21,94.87,189,2
25.59,94.57,189,2
15.55,84.39,48,0
29.2,98.5,140,2
19.91,88.61,122,1
17.99,87.26,120,1
17.94,86.49,92,1
28.42,97.52,150,2
20.78,89.32,111,1
19.74,89.19,109,1
21.14,90.0,139,1
13.74,82.46,64,0
29.92,98.58,140,2
14.06,82.9,26,0
25.0,93.88,164,2
17.97,86.79,125,1
12.37,81.39,50,0
22.67,91.32,140,1
22.73,92.19,130,1
29.22,98.32,156,2
24.47,93.93,176,2
19.65,88.25,132,1
12.42,80.98,31,0
28.81,97.74,189,2
17.74,86.5,99,1
10.9,80.0,12,0
20.49,89.33,114,1
18.97,88.44,96,1
17.2,86.23,78,1
20.85,89.94,86,1
11.11,80.54,3,0
27.07,96.38,163,2
22.79,92.05,124,1
11.33,80.73,48,0
14.69,83.42,3,0
22.8,91.81,128,1
19.23,87.83,123,1
25.65,95.12,148,2
27.51,96.83,186,2
24.04,93.0,179,2
12.93,81.62,12,0
20.0,89.44,110,1
20.11,89.0,115,1
16.97,86.0,48,0
11.98,81.05,2,0
20.74,90.14,121,1
25.22,94.46,193,2
24.56,93.7,159,2
22.74,91.57,75,1
21.88,90.91,73,1
28.37,97.16,174,2
19.02,88.11,129,1
15.76,84.78,18,0
27.1,95.93,160,2
26.4,95.53,161,2
27.4,96.38,189,2
21.23,90.13,94,1
25.4,94.04,151,2
26.64,95.87,200,2
23.34,91.93,74,1
14.31,83.47,6,0
20.61,89.8,106,1
22.87,91.42,74,1
25.26,94.03,140,2
27.63,96.97,166,2
26.05,95.23,195,2
12.36,81.78,65,0
26.05,95.35,179,2
16.14,84.8,46,0
25.88,94.46,147,2
18.18,87.45,136,1
17.66,86.98,107,1
24.79,94.05,193,2
18.83,88.28,77,1
18.79,87.52,108,1
19.32,88.18,83,1
29.44,98.02,142,2
23.78,93.0,126,1
21.3,90.31,117,1
10.16,79.0,63,0
20.95,90.07,136,1
20.73,89.42,102,1
14.34,83.4,10,0
24.93,94.09,174,2
22.42,91.76,111,1
23.76,93.0,97,1
22.39,91.74,87,1
20.04,88.73,92,1
19.6,88.71,105,1
18.16,86.87,111,1
29.94,98.78,179,2
27.6,96.77,159,2
23.79,92.86,117,1
21.19,90.13,102,1
24.85,93.68,187,2
14.47,82.98,64,0
22.1,91.08,139,1
15.39,83.94,58,0
21.25,90.24,120,1
15.69,84.43,68,0
27.05,96.37,200,2
26.59,95.89,175,2
26.76,96.18,156,2
21.8,90.69,84,1
21.86,90.97,97,1
19.64,88.59,125,1
28.13,97.62,181,2
22.99,92.18,97,1
27.4,96.32,162,2
10.65,79.49,14,0
25.27,94.56,146,2
27.25,96.47,146,2
18.83,88.17,136,1
20.59,89.3,73,1
13.16,82.33,65,0
12.16,80.7,57,0
14.3,83.66,51,0
17.92,86.6,136,1
28.91,97.87,177,2
12.4,81.21,29,0
25.28,94.38,169,2
18.24,87.28,81,1
21.28,90.54,127,1
23.57,92.96,79,1
27.81,97.27,179,2
23.96,93.0,86,1
28.06,96.67,168,2
10.65,80.03,49,0
15.38,84.54,2,0
29.67,99.0,170,2
16.35,85.46,4,0
29.05,98.22,186,2
23.21,92.6,85,1
29.86,99.0,180,2
27.72,97.01,193,2
28.01,97.26,180,2
26.84,96.27,177,2
14.16,83.52,30,0
11.64,80.19,10,0
10.81,79.63,9,0
15.52,84.78,15,0
13.61,82.61,11,0
16.33,85.42,59,0
19.37,88.46,97,1
21.55,90.98,80,1
21.41,90.83,140,1
24.34,93.81,160,2
22.32,91.31,87,1
14.16,82.79,51,0
12.66,81.81,0,0
21.51,90.61,77,1
29.97,98.7,178,2
21.69,90.91,119,1
23.9,92.75,129,1
29.73,99.0,148,2
26.9,96.02,145,2
22.87,91.88,134,1
23.4,92.26,123,1
27.59,96.49,143,2
11.43,80.28,18,0
10.6,79.68,35,0
22.21,91.42,82,1
13.11,81.67,63,0
28.34,97.4,200,2
29.56,98.38,176,2
15.52,84.56,65,0
24.48,93.58,157,2
27.1,95.65,174,2
26.47,95.86,175,2
17.24,86.29,128,1
27.84,96.9,193,2
14.74,83.34,18,0
18.8,87.32,136,1
18.15,86.69,89,1
20.08,89.02,98,1
20.41,89.03,134,1
24.17,93.0,149,2
25.25,94.63,197,2
12.75,81.54,10,0
20.07,88.93,109,1
29.31,98.07,184,2
13.67,82.72,60,0
29.75,98.93,154,2
26.79,95.49,192,2
23.43,92.62,94,1
27.84,96.81,149,2
13.93,82.84,29,0
15.68,84.73,3,0
28.35,97.62,163,2
25.35,94.61,176,2
20.06,88.97,94,1
29.38,98.38,161,2
15.06,84.17,64,0
23.92,93.0,140,1
25.51,94.22,146,2
28.35,97.41,150,2
21.98,90.58,136,1
25.93,95.07,185,2
19.12,87.7,114,1
13.39,81.99,19,0
29.31,98.8,177,2
17.59,86.45,103,1
11.54,80.29,45,0
20.81,89.39,129,1
21.46,90.31,72,1
13.04,81.83,69,0
15.57,84.75,41,0
17.67,87.04,118,1
23.03,92.33,90,1
11.54,80.9,33,0
13.85,83.34,51,0
28.56,97.36,188,2
26.2,95.25,160,2
18.5,87.84,85,1
23.52,92.93,75,1
12.71,82.06,44,0
26.06,94.93,142,2
27.24,95.92,163,2
28.29,96.98,170,2
19.28,88.67,93,1
18.33,86.88,113,1
19.79,88.94,122,1
19.85,88.63,119,1
14.12,82.81,28,0
23.07,92.18,134,1
29.92,99.0,192,2
10.37,79.14,61,0
17.45,86.62,91,1
14.8,84.02,54,0
12.81,81.79,21,0
24.6,93.91,191,2
18.87,88.0,131,1
10.81,80.11,18,0
19.47,88.39,97,1
28.56,97.57,161,2
18.02,87.52,126,1
24.6,93.39,192,2
18.36,86.97,95,1
28.91,97.71,194,2
26.55,95.32,183,2
13.72,82.63,67,0
15.41,84.03,8,0
19.92,88.74,131,1
22.58,91.2,74,1
17.97,87.11,87,1
26.35,95.38,161,2
11.63,80.92,60,0
17.87,86.78,116,1
21.41,90.02,77,1
19.23,88.55,87,1
20.1,88.68,101,1
19.03,88.29,119,1
17.54,86.67,123,1
21.05,89.88,86,1
23.26,92.26,125,1
19.79,88.46,86,1
14.01,83.22,17,0
29.04,97.64,176,2
12.68,81.44,34,0
23.24,92.06,99,1
25.16,94.12,178,2
24.3,93.62,199,2
17.51,86.5,119,1
16.74,85.95,24,0
24.41,93.41,175,2
12.29,81.52,28,0
22.55,91.88,114,1
17.99,86.58,117,1
11.1,80.21,22,0
22.0,90.59,77,1
14.15,83.03,49,0
27.6,96.45,153,2
23.8,92.79,126,1
19.78,88.74,86,1
29.99,98.77,183,2
18.17,87.11,132,1
29.27,97.96,173,2
21.23,90.68,127,1
16.44,85.01,9,0
21.01,89.62,117,1
22.0,91.13,106,1
20.25,89.74,78,1
11.3,80.73,5,0
29.86,98.38,167,2
18.74,87.41,111,1
19.17,88.41,125,1
18.33,86.98,136,1
26.52,95.84,198,2
27.15,96.3,154,2
28.43,97.38,173,2
20.75,89.98,111,1
11.84,80.77,37,0
26.83,95.42,152,2
29.95,99.0,199,2
12.14,81.57,0,0
20.53,90.01,90,1
29.07,97.7,168,2
17.27,86.26,126,1
23.21,92.55,117,1
26.88,96.13,186,2
22.69,92.02,112,1
20.95,89.9,132,1
15.24,84.67,49,0
25.68,95.0,177,2
28.57,97.55,182,2
25.64,94.87,149,2
12.27,81.0,53,0
22.1,91.58,84,1
26.43,95.89,150,2
24.41,93.05,172,2
13.58,82.14,60,0
20.4,89.22,89,1
22.38,91.75,121,1
21.48,90.19,121,1
10.21,79.32,36,0
26.87,95.51,183,2
25.14,94.38,164,2
20.87,90.07,96,1
16.5,85.56,44,0
25.14,93.78,174,2
26.09,94.69,189,2
15.59,84.51,41,0
25.87,95.05,173,2
28.17,97.51,166,2
21.5,90.39,133,1
29.82,99.0,170,2
19.48,88.28,118,1
11.11,80.14,23,0
27.92,96.45,194,2
21.81,91.28,113,1
16.09,85.17,57,0
20.1,89.59,117,1
24.99,94.27,186,2
27.46,96.64,198,2
28.15,97.29,179,2
23.82,92.38,120,1
20.06,89.0,86,1
27.94,97.32,159,2
24.99,93.86,179,2
26.26,94.82,188,2
11.71,80.84,28,0
18.21,86.83,136,1
25.09,93.74,147,2
20.24,89.3,126,1
26.82,95.64,150,2
19.2,87.8,103,1
26.93,95.45,161,2
16.4,85.65,38,0
12.55,81.8,68,0
19.4,88.7,99,1
29.55,98.2,171,2
20.83,89.44,99,1
20.23,89.7,76,1
14.89,83.9,53,0
12.17,81.62,26,0
24.14,93.0,150,2
21.44,90.88,112,1
27.72,96.67,194,2
28.62,97.87,189,2
28.73,97.36,197,2
21.4,89.93,92,1
20.84,89.78,89,1
16.7,85.57,43,0
14.39,82.99,16,0
19.36,88.8,106,1
29.91,98.9,176,2
21.32,90.38,88,1
19.91,88.49,124,1
23.09,92.17,103,1
17.59,86.21,103,1
29.01,98.16,176,2
18.62,87.51,103,1
12.17,81.32,61,0
25.66,94.66,184,2
26.96,96.08,154,2
23.78,92.82,72,1
21.82,91.2,115,1
23.01,92.14,130,1
22.03,90.89,101,1
11.76,81.04,39,0
14.51,83.82,31,0
18.93,87.47,80,1
11.28,80.04,54,0
21.38,90.17,134,1
17.41,86.55,87,1
18.18,87.08,140,1
24.3,93.37,180,2
21.28,90.49,95,1
26.03,95.53,191,2
21.33,90.35,75,1
26.73,95.46,164,2
23.91,92.67,118,1
24.44,93.66,165,2
22.08,90.67,97,1
18.48,87.83,82,1
10.45,79.37,69,0
16.71,86.0,13,0
27.11,95.86,197,2
15.46,84.04,13,0
27.95,97.29,174,2
21.22,89.96,86,1
17.33,86.29,81,1
29.92,98.76,176,2
28.25,97.43,169,2
20.25,89.26,113,1
26.97,95.7,190,2
24.76,94.21,148,2
25.03,94.33,169,2
27.95,97.29,145,2
29.53,98.98,187,2
29.47,98.0,148,2
26.88,96.31,167,2
26.02,94.7,175,2
24.35,93.71,174,2
20.86,89.66,126,1
11.63,81.12,40,0
10.97,79.7,12,0
28.81,97.95,188,2
18.07,86.64,125,1
28.84,97.36,189,2
13.92,82.96,24,0
14.18,83.52,31,0
20.05,88.93,73,1
13.84,82.72,67,0
18.89,88.38,121,1
18.52,87.13,96,1
27.13,96.25,177,2
24.29,93.77,185,2
12.14,81.5,14,0
26.54,95.32,183,2
25.54,94.58,199,2
19.48,88.48,122,1
27.8,96.38,168,2
28.83,97.64,140,2
20.14,89.12,81,1
19.89,89.32,70,1
27.1,95.72,171,2
24.76,93.55,157,2
28.94,97.66,196,2
11.52,80.45,44,0
23.43,92.79,103,1
25.8,95.24,184,2
16.99,85.55,41,0
19.41,88.67,131,1
13.13,81.88,22,0
15.99,84.53,47,0
24.38,93.13,166,2
26.18,94.73,145,2
15.67,84.76,29,0
27.87,97.18,191,2
29.87,98.65,149,2
20.27,89.7,78,1
17.01,86.1,110,1
22.12,91.53,132,1
13.21,82.11,61,0
22.0,90.68,109,1
10.76,80.24,14,0
10.4,79.0,57,0
23.81,93.0,115,1
20.36,89.52,139,1
22.91,91.7,138,1
16.93,85.54,60,0
25.41,94.31,153,2
15.74,84.58,55,0
12.6,81.72,19,0
23.64,92.37,72,1
17.55,86.52,77,1
19.24,87.88,110,1
23.57,92.98,135,1
22.41,91.77,105,1
29.96,98.71,186,2
27.22,96.05,194,2
18.5,87.5,126,1
10.39,79.73,64,0
17.58,86.64,113,1
19.86,88.51,137,1
14.46,83.5,57,0
27.66,97.05,162,2
23.15,91.93,107,1
22.46,91.31,86,1
14.17,82.86,7,0
27.05,95.91,199,2
25.16,93.81,151,2
20.86,90.01,99,1
11.73,81.05,29,0
26.98,95.95,184,2
18.54,87.41,123,1
10.92,80.1,70,0
23.57,92.15,136,1
11.23,80.48,41,0
12.5,81.85,70,0
27.55,96.07,140,2
25.34,94.07,171,2
10.08,79.0,59,0
22.59,91.53,115,1
20.23,89.15,107,1
28.65,97.17,189,2
28.21,97.09,174,2
29.74,99.0,182,2
21.16,90.49,140,1
12.33,80.84,36,0
28.36,97.15,164,2
16.26,84.92,47,0
11.32,80.0,13,0
18.16,86.66,121,1
26.33,95.27,160,2
27.24,96.39,194,2
16.54,85.61,15,0
23.39,92.09,102,1
18.24,87.26,108,1
29.83,98.45,158,2
17.77,86.58,97,1
21.36,90.48,129,1
21.68,90.97,121,1
11.17,80.09,38,0
29.54,98.65,171,2
23.83,92.77,113,1
20.59,89.26,94,1
13.56,82.42,51,0
19.7,88.6,111,1
23.05,91.94,113,1
26.63,95.56,179,2
14.6,83.11,36,0
28.89,98.36,179,2
22.77,91.49,110,1
27.94,97.02,149,2
12.73,81.64,30,0
20.56,89.39,101,1
27.72,96.8,188,2
19.32,88.73,79,1
17.84,86.36,100,1
19.4,88.52,71,1
21.1,89.69,94,1
13.65,82.85,48,0
22.99,91.79,95,1
11.14,80.37,13,0
28.9,98.38,182,2
24.6,93.29,146,2
13.94,82.47,40,0
19.29,88.23,138,1
24.56,93.27,188,2
28.01,97.22,152,2
24.31,93.0,158,2
28.54,97.35,171,2
26.01,94.98,140,2
22.72,91.51,107,1
14.42,83.79,15,0
29.23,98.4,143,2
15.0,83.54,24,0
26.41,95.46,196,2
23.89,92.62,122,1
27.74,96.9,193,2
13.15,82.31,8,0
13.16,81.8,69,0
26.15,94.67,144,2
11.38,80.25,59,0
21.65,90.24,113,1
18.51,87.19,74,1
18.82,87.59,121,1
17.62,86.59,107,1
27.04,96.23,168,2
28.25,97.74,197,2
22.48,91.56,118,1
17.08,86.42,123,1
26.02,94.94,140,2
14.43,83.37,25,0
18.11,87.33,140,1
27.81,96.48,178,2
19.25,87.88,123,1
10.91,79.73,25,0
16.89,86.0,51,0
24.15,93.49,183,2
13.69,82.91,4,0
15.23,84.21,38,0
11.52,80.74,42,0
20.59,89.76,114,1
22.56,91.43,79,1
26.49,95.67,199,2
17.93,86.87,140,1
29.86,99.0,188,2
17.53,86.54,72,1
21.41,90.63,112,1
24.35,93.68,169,2
29.63,98.31,176,2
16.16,85.63,28,0
16.99,86.0,25,0
25.2,94.09,179,2
26.68,95.22,168,2
25.98,94.74,185,2
14.77,83.41,25,0
18.34,87.51,114,1
20.25,88.9,83,1
17.25,86.44,114,1
20.16,88.94,75,1
16.25,85.0,33,0
14.18,82.96,54,0
23.91,92.64,129,1
18.31,87.29,89,1
29.95,99.0,184,2
24.1,93.52,184,2
10.74,80.22,30,0
19.55,88.89,85,1
10.76,79.56,23,0
26.16,95.62,174,2
26.4,95.24,142,2
22.02,91.08,111,1
16.79,85.63,41,0
28.11,97.36,178,2
21.45,90.16,114,1
28.98,97.94,200,2
20.16,89.51,71,1
14.1,83.15,24,0
13.26,82.73,19,0
17.3,86.18,104,1
20.45,88.95,134,1
17.6,86.59,72,1
17.87,87.33,79,1
28.57,97.5,167,2
25.01,94.14,165,2
20.73,89.62,134,1
29.59,98.22,172,2
29.02,97.97,154,2
21.25,90.47,89,1
28.02,97.24,164,2
26.75,95.87,141,2
20.24,89.17,134,1
26.16,95.6,170,2
28.3,97.05,200,2
27.95,96.49,154,2
18.94,87.65,111,1
26.93,96.1,142,2
18.07,87.29,97,1
24.19,93.47,141,2
17.23,86.0,80,1
13.74,82.51,63,0
13.87,83.17,9,0
29.04,97.75,156,2
20.09,89.25,96,1
19.92,89.07,93,1
21.7,90.25,98,1
17.08,86.39,119,1
27.95,96.93,200,2
20.57,89.51,139,1
19.57,88.18,105,1
21.12,90.51,111,1
28.58,97.36,167,2
20.24,89.3,81,1
23.03,92.26,134,1
22.34,90.99,77,1
13.52,82.53,0,0
25.39,94.02,173,2
27.68,96.61,180,2
23.95,92.91,121,1
25.39,94.16,194,2
23.53,92.06,99,1
29.56,98.11,175,2
24.28,93.72,178,2
28.91,97.99,142,2
27.33,95.91,199,2
23.49,92.9,86,1
24.06,93.22,164,2
17.55,86.74,137,1
25.15,94.63,198,2
29.92,99.0,157,2
26.12,95.21,169,2
10.27,79.0,40,0
17.55,86.43,126,1
16.19,85.09,16,0
15.52,84.63,21,0
22.94,92.02,127,1
15.78,84.62,69,0
17.83,87.26,109,1
18.43,87.89,124,1
25.26,94.11,180,2
24.82,93.86,175,2
23.83,92.98,108,1
17.57,86.34,137,1
18.7,87.6,112,1
22.09,90.95,77,1
27.25,95.97,143,2
17.37,86.27,109,1
12.37,81.07,56,0
17.69,86.93,94,1
21.01,90.5,111,1
20.1,89.58,70,1
20.7,90.08,99,1
18.15,86.71,70,1
13.24,82.66,19,0
23.44,92.83,83,1
20.7,89.91,129,1
26.09,95.54,177,2
10.68,79.65,48,0
14.9,84.21,20,0
24.9,93.78,178,2
26.89,95.53,148,2
18.82,88.05,104,1
15.04,83.79,60,0
23.35,92.5,129,1
27.06,96.46,163,2
22.38,91.54,139,1
29.35,98.32,189,2
18.55,87.58,111,1
28.31,97.74,179,2
28.45,97.44,173,2
24.69,93.21,183,2
20.04,89.04,119,1
22.32,91.05,71,1
29.57,98.62,190,2
29.02,98.03,188,2
29.34,98.6,192,2
18.56,87.6,86,1
24.35,93.57,199,2
17.14,86.12,96,1
20.82,89.88,105,1
13.18,82.37,29,0
21.62,90.74,79,1
16.11,84.81,57,0
23.26,92.27,106,1
11.67,80.96,58,0
12.41,81.89,18,0
17.86,86.68,83,1
18.14,87.19,128,1
23.53,92.29,108,1
17.12,86.08,108,1
13.29,82.51,41,0
26.51,95.76,172,2
16.97,86.0,14,0
13.24,82.49,7,0
11.17,80.09,35,0
25.0,93.61,191,2
25.76,95.04,192,2
23.54,92.87,119,1
21.43,90.19,109,1
27.16,96.1,173,2
18.77,88.23,101,1
19.99,89.3,98,1
10.14,79.26,26,0
28.59,97.99,199,2
14.93,84.01,12,0
18.23,87.19,139,1
22.57,91.53,94,1
21.72,90.98,84,1
15.64,84.61,32,0
24.7,93.49,194,2
