CarID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
75,Kia,2014,3.9,Petrol,Manual,122618,Used,9153.04,Sorento
76,Toyota,2010,3.8,Petrol,Automatic,110493,Used,6102.19,Camry
77,Hyundai,2022,2.8,Hybrid,Automatic,130790,New,22051.91,Sonata
78,Hyundai,2001,4.5,Petrol,Manual,53512,Used,3521.67,Kona
79,Chevrolet,2019,2.4,Petrol,Manual,7960,Used,20784.61,Equinox
80,BMW,2000,4.3,Petrol,Manual,193388,Used,1910.13,X5
81,Kia,2019,1.7,Diesel,Automatic,57275,Used,16140.8,Sorento
82,Ford,2022,4.4,Petrol,Automatic,108784,Used,17984.56,Focus
83,Subaru,2003,4.3,Petrol,Manual,144475,Used,1655.21,Impreza
84,Honda,2015,2.2,Diesel,Automatic,146079,New,12107.5,Fit
85,Kia,2021,2.1,Diesel,Manual,108320,Used,16560.82,Rio
86,Audi,2003,4.1,Petrol,Automatic,152962,Used,4160.8,Q7
87,Chevrolet,2010,3.7,Petrol,Manual,47487,Used,7666.48,Impala
88,Tesla,2020,0.0,Electric,Automatic,113100,Used,35875.0,Model Y
89,Kia,2010,1.5,Hybrid,Automatic,60966,Used,7670.86,Optima
90,BMW,2013,4.2,Diesel,Manual,9504,Used,21061.23,X5
91,Ford,2017,3.2,Diesel,Automatic,99359,Used,15942.74,Explorer
92,Subaru,2006,3.6,Hybrid,Automatic,119717,Used,3760.92,Crosstrek
93,Audi,2005,4.4,Hybrid,Manual,137344,Used,7457.8,Q5
94,Audi,2008,3.2,Hybrid,Automatic,57629,Used,10247.98,A4
95,Audi,2003,2.3,Petrol,Automatic,114440,Used,6311.46,Q7
96,Toyota,2004,3.3,Diesel,Automatic,124271,Used,3238.81,RAV4
97,Toyota,2000,2.1,Diesel,Manual,128236,New,1500,Camry
98,Kia,2015,2.5,Petrol,Automatic,53845,Used,11605.16,Rio
99,Toyota,2019,2.2,Petrol,Manual,119475,Used,16452.59,Prius
100,Tesla,2003,0.0,Electric,Manual,99790,Used,9103.67,Model Y
101,Subaru,2004,3.7,Hybrid,Automatic,31905,New,6032.34,Outback
102,Chevrolet,2004,2.0,Hybrid,Manual,145810,New,2887.08,Impala
103,Tesla,2002,0.0,Electric,Manual,91472,Used,7751.22,Model X
104,Ford,2019,1.7,Petrol,Automatic,28972,Used,17530.11,Fiesta
105,Tesla,2002,0.0,Electric,Manual,180308,Used,6112.08,Model Y
106,BMW,2003,2.3,Diesel,Automatic,161764,Used,5408.45,X3
107,Toyota,2005,1.8,Petrol,Automatic,6483,Used,7091.83,Corolla
108,Tesla,2021,0.0,Electric,Manual,10761,New,49035.33,Model 3
109,Honda,2019,3.3,Diesel,Automatic,32022,Used,16059.3,Fit
110,Kia,2016,1.3,Diesel,Automatic,185064,Used,10701.45,Sportage
111,Ford,2013,4.2,Petrol,Automatic,192843,New,7178.28,Focus
112,BMW,2014,3.1,Hybrid,Automatic,185882,New,20201.1,X3
113,BMW,2016,3.4,Petrol,Manual,57406,Used,20885.46,3 Series
114,Toyota,2017,1.8,Hybrid,Automatic,90154,Used,15182.09,Prius
115,Ford,2006,1.4,Hybrid,Manual,180533,Used,2043.63,Mustang
116,Hyundai,2012,1.2,Diesel,Manual,192797,New,7706.71,Sonata
117,Toyota,2020,2.7,Petrol,Manual,107863,Used,15098.33,RAV4
118,Hyundai,2006,2.7,Diesel,Automatic,28708,New,8136.58,Elantra
119,Subaru,2007,4.0,Petrol,Automatic,38474,Used,7180.18,Crosstrek
120,Ford,2003,3.5,Petrol,Manual,61593,Used,4506.34,Fiesta
121,Tesla,2010,0.0,Electric,Manual,124591,New,19562.91,Model Y
122,Audi,2016,2.2,Diesel,Automatic,52579,Used,22689.19,A3
123,Subaru,2018,3.5,Petrol,Automatic,166945,Used,11764.8,Outback
124,Hyundai,2007,2.3,Petrol,Automatic,21354,Used,7324.75,Kona
125,Hyundai,2007,3.7,Hybrid,Manual,167811,Used,3573.66,Kona
126,Subaru,2007,3.1,Diesel,Automatic,36916,Used,6909.12,Crosstrek
127,Toyota,2003,2.8,Petrol,Automatic,183397,New,1500,RAV4
128,Honda,2023,1.5,Petrol,Automatic,72853,Used,22189.34,Accord
129,Kia,2003,3.7,Hybrid,Automatic,23115,Used,6100.5,Optima
130,Hyundai,2015,2.3,Hybrid,Manual,153417,Used,9543.15,Tucson
131,Subaru,2003,2.0,Petrol,Automatic,137175,Used,1867.49,Outback
132,Honda,2016,3.7,Petrol,Automatic,41550,Used,14608.98,CR-V
133,Toyota,2005,2.9,Petrol,Automatic,19625,Used,7044.53,Camry
134,Chevrolet,2010,4.4,Petrol,Automatic,41306,New,8790.36,Malibu
135,Toyota,2016,2.7,Diesel,Manual,70113,New,14139.18,Prius
136,Kia,2000,3.4,Petrol,Automatic,175512,Used,1500,Sportage
137,Subaru,2006,1.4,Diesel,Automatic,163905,Used,2956.09,Outback
138,Ford,2010,2.5,Petrol,Manual,193227,Used,4826.48,Focus
139,Tesla,2002,0.0,Electric,Automatic,120026,Used,6628.93,Model S
140,Honda,2022,3.0,Petrol,Automatic,30917,New,23175.55,Fit
141,Hyundai,2023,2.2,Petrol,Automatic,107294,Used,24467.99,Tucson
142,Kia,2010,4.7,Diesel,Manual,47192,Used,9791.48,Sportage
143,Subaru,2002,2.6,Petrol,Automatic,112930,New,2428.44,Outback
144,Subaru,2001,4.6,Diesel,Automatic,119702,Used,1620.72,Impreza
145,Kia,2001,3.7,Diesel,Automatic,198466,Used,1500,Sorento
146,Chevrolet,2001,1.6,Diesel,Automatic,24418,Used,4781.16,Impala
147,Audi,2004,2.3,Petrol,Manual,154031,Used,4948.91,A4
148,Chevrolet,2020,3.5,Hybrid,Automatic,66956,Used,17668.73,Malibu
149,Chevrolet,2001,1.4,Hybrid,Manual,94413,Used,2401.54,Tahoe
150,BMW,2010,4.5,Petrol,Automatic,37513,Used,13110.39,3 Series
151,Honda,2023,1.5,Petrol,Manual,30781,Used,24132.88,CR-V
152,Tesla,2023,0.0,Electric,Manual,122958,Used,51452.29,Model 3
153,Tesla,2019,0.0,Electric,Automatic,171656,Used,28965.21,Model 3
154,Audi,2007,3.8,Diesel,Manual,77111,New,11346.64,Q5
155,Audi,2022,2.4,Petrol,Manual,28088,Used,35602.1,A4
156,BMW,2013,1.6,Hybrid,Automatic,133612,Used,13927.57,3 Series
157,Tesla,2005,0.0,Electric,Manual,62576,Used,11324.05,Model S
158,Toyota,2017,4.3,Petrol,Manual,183874,Used,12834.18,Camry
159,Tesla,2011,0.0,Electric,Automatic,58867,Used,21876.5,Model X
160,Hyundai,2015,4.2,Diesel,Manual,78197,Used,13623.33,Elantra
161,Subaru,2001,1.7,Petrol,Automatic,194113,Used,1500,Forester
162,BMW,2008,2.6,Petrol,Automatic,178000,Used,8430.73,X3
163,Hyundai,2013,1.4,Hybrid,Manual,109905,Used,8565.25,Tucson
164,Ford,2011,3.3,Hybrid,Automatic,25954,Used,9066.9,Focus
165,Audi,2004,2.4,Hybrid,Automatic,6425,New,11720.91,Q5
166,Ford,2010,3.8,Petrol,Automatic,91557,New,8223.4,Mustang
167,BMW,2009,4.3,Hybrid,Automatic,100478,Used,11762.46,3 Series
168,Audi,2007,1.4,Hybrid,Manual,21476,Used,13097.42,A3
169,Tesla,2002,0.0,Electric,Automatic,111977,New,8583.76,Model Y
170,Ford,2023,3.7,Petrol,Manual,111169,Used,23058.33,Explorer
171,Toyota,2020,2.1,Petrol,Automatic,19707,New,26431.34,Prius
172,Chevrolet,2009,3.5,Hybrid,Automatic,82845,Used,6798.79,Tahoe
173,Tesla,2015,0.0,Electric,Automatic,69199,Used,23746.33,Model S
174,Chevrolet,2020,4.8,Diesel,Automatic,111084,Used,19080.79,Tahoe
175,Chevrolet,2001,1.4,Diesel,Automatic,67215,Used,3383.48,Equinox
176,Toyota,2011,3.7,Hybrid,Automatic,143405,Used,7353.96,Camry
177,Tesla,2011,0.0,Electric,Automatic,13200,New,22406.72,Model X
178,BMW,2002,2.6,Petrol,Automatic,193670,Used,2889.63,X3
179,Hyundai,2004,1.5,Petrol,Automatic,32614,New,5570.95,Tucson
180,Kia,2017,3.0,Diesel,Manual,73089,Used,13357.99,Sorento
181,Chevrolet,2000,3.7,Hybrid,Automatic,94615,New,2640.91,Tahoe
182,Tesla,2018,0.0,Electric,Automatic,93929,Used,36770.86,Model S
183,Kia,2006,2.2,Petrol,Manual,190710,Used,1695.66,Rio
184,Tesla,2005,0.0,Electric,Manual,110726,Used,9511.61,Model X
185,Tesla,2003,0.0,Electric,Manual,169852,Used,6439.02,Model S
186,Tesla,2007,0.0,Electric,Automatic,63289,Used,13045.14,Model 3
187,Hyundai,2003,2.2,Hybrid,Automatic,142023,New,2405.33,Kona
188,Honda,2012,1.6,Petrol,Manual,38091,Used,10580.44,Accord
189,Honda,2009,4.0,Petrol,Manual,119038,New,7661.52,Fit
190,Tesla,2010,0.0,Electric,Automatic,80643,Used,16972.6,Model 3
191,Audi,2003,3.8,Petrol,Manual,123135,Used,5144.42,Q7
192,Toyota,2002,2.3,Diesel,Manual,71387,New,4308.53,Prius
193,Ford,2013,4.3,Petrol,Automatic,114111,Used,9705.56,Focus
194,Audi,2000,1.4,Petrol,Manual,160748,New,3236.57,A4
195,Subaru,2014,1.3,Petrol,Automatic,106104,Used,9299.19,Outback
196,BMW,2006,3.6,Petrol,Automatic,43776,Used,10250.6,X5
197,Subaru,2021,1.6,Hybrid,Manual,182485,Used,14561.87,Impreza
198,Honda,2008,3.8,Diesel,Manual,125161,Used,4946.61,CR-V
199,Hyundai,2017,2.2,Petrol,Manual,137068,Used,12300.07,Elantra
200,Honda,2010,1.3,Hybrid,Automatic,183936,Used,4894.44,Accord
201,Ford,2021,2.5,Petrol,Manual,140478,Used,19918.04,Explorer
202,Hyundai,2005,4.2,Petrol,Automatic,93894,New,4597.06,Kona
203,Ford,2004,1.5,Hybrid,Automatic,139930,New,2487.35,Fiesta
204,Hyundai,2021,2.7,Petrol,Automatic,33875,New,27804.61,Sonata
205,Honda,2013,2.0,Petrol,Manual,165825,New,9764.3,Fit
206,Tesla,2018,0.0,Electric,Automatic,108142,Used,28651.92,Model X
207,Tesla,2005,0.0,Electric,Manual,115655,New,12257.09,Model X
208,Audi,2021,1.2,Diesel,Automatic,142609,Used,31330.01,A4
209,Kia,2017,1.5,Hybrid,Automatic,63937,Used,13667.28,Optima
210,Tesla,2020,0.0,Electric,Automatic,33561,Used,43662.56,Model S
211,Tesla,2001,0.0,Electric,Manual,194218,Used,4378.93,Model Y
212,Tesla,2014,0.0,Electric,Manual,15345,Used,23626.78,Model 3
213,Hyundai,2019,3.6,Petrol,Automatic,9080,Used,20086.74,Kona
214,Audi,2021,3.6,Petrol,Manual,151128,Used,29100.65,Q7
215,Chevrolet,2021,1.7,Petrol,Manual,41805,Used,24245.12,Tahoe
216,Hyundai,2011,3.7,Hybrid,Automatic,25808,Used,10152.55,Tucson
217,Subaru,2011,4.4,Hybrid,Automatic,74627,Used,8526.89,Forester
218,BMW,2015,4.3,Petrol,Manual,141697,Used,21250.19,5 Series
219,Toyota,2009,2.7,Petrol,Manual,192177,New,3932.86,Camry
220,Hyundai,2008,4.7,Diesel,Automatic,8809,Used,7912.49,Kona
221,BMW,2001,2.9,Diesel,Automatic,91646,Used,6509.73,X3
222,Audi,2009,3.1,Petrol,Automatic,132251,Used,10108.23,A3
223,Hyundai,2000,2.2,Hybrid,Automatic,142625,Used,1500,Sonata
224,Honda,2011,4.7,Hybrid,Manual,96733,New,7937.43,Fit
225,Ford,2019,3.1,Hybrid,Automatic,77841,New,18984.05,Focus
226,BMW,2022,4.3,Petrol,Automatic,160698,Used,34365.25,X5
227,Chevrolet,2018,2.2,Diesel,Manual,158080,Used,14075.41,Impala
228,Honda,2005,4.0,Petrol,Automatic,133452,Used,2795.04,Civic
229,Kia,2010,2.2,Petrol,Manual,88506,Used,8234.59,Sorento
230,BMW,2014,2.5,Diesel,Automatic,117394,Used,18531.52,X3
231,Ford,2002,2.7,Hybrid,Automatic,33990,Used,4385.34,Explorer
232,Tesla,2012,0.0,Electric,Automatic,81233,Used,23133.37,Model Y
233,Audi,2023,2.1,Diesel,Manual,50516,Used,34783.13,A3
234,Kia,2001,4.1,Diesel,Automatic,48396,Used,4125.48,Rio
235,Tesla,2022,0.0,Electric,Automatic,102358,New,43846.25,Model X
236,Subaru,2015,2.9,Diesel,Manual,141795,New,13566.46,Impreza
237,Subaru,2009,2.8,Diesel,Manual,25752,Used,8512.68,Crosstrek
238,Tesla,2001,0.0,Electric,Automatic,114397,Used,7695.1,Model Y
239,Tesla,2016,0.0,Electric,Manual,160505,New,31552.05,Model 3
240,Audi,2014,3.0,Hybrid,Manual,5348,Used,22847.94,Q7
241,BMW,2017,1.9,Hybrid,Manual,106577,Used,24673.11,X3
242,Chevrolet,2006,4.1,Petrol,Automatic,143227,Used,3356.44,Equinox
243,Hyundai,2017,3.7,Petrol,Automatic,121879,New,16618.91,Tucson
244,Toyota,2018,4.1,Petrol,Automatic,118371,Used,15378.83,Corolla
245,Tesla,2006,0.0,Electric,Automatic,186282,Used,8887.83,Model S
246,Hyundai,2022,2.9,Hybrid,Automatic,135045,Used,18323.35,Tucson
247,Ford,2001,3.9,Hybrid,Automatic,146033,New,1500,Mustang
248,Toyota,2023,2.7,Diesel,Automatic,84295,Used,25794.79,Camry
249,Kia,2009,3.0,Hybrid,Automatic,36522,Used,9235.53,Sorento
250,Toyota,2012,2.5,Diesel,Automatic,18839,Used,10167.13,RAV4
251,Audi,2012,2.6,Petrol,Automatic,20322,New,19044.64,Q5
252,Hyundai,2001,2.0,Diesel,Automatic,177185,Used,1500,Kona
253,Subaru,2016,3.2,Petrol,Automatic,172720,New,10929.65,Forester
254,BMW,2004,1.9,Hybrid,Manual,130699,Used,6279.24,X3
255,BMW,2008,3.0,Petrol,Automatic,143610,Used,9950.64,X5
256,Ford,2005,1.3,Petrol,Automatic,21970,Used,6680.53,Mustang
257,Honda,2013,3.4,Petrol,Automatic,87248,Used,10146.98,Civic
258,Ford,2012,1.8,Petrol,Automatic,195636,New,5751.47,Fiesta
259,Chevrolet,2002,2.0,Petrol,Automatic,5558,Used,5412.84,Impala
260,Tesla,2016,0.0,Electric,Automatic,147815,Used,25470.31,Model 3
261,Audi,2008,4.6,Hybrid,Automatic,55336,Used,10707.39,Q7
262,Kia,2014,3.0,Diesel,Automatic,68637,Used,12870.39,Optima
263,Toyota,2002,3.9,Hybrid,Automatic,176268,Used,1500,Prius
264,Kia,2018,4.1,Diesel,Automatic,20069,Used,20127.12,Rio
265,Toyota,2012,2.9,Petrol,Automatic,63419,Used,11120.32,RAV4
266,Audi,2017,3.0,Petrol,Manual,131809,New,26802.65,A4
267,Audi,2004,1.3,Petrol,Automatic,173606,New,6387.83,A3
268,Toyota,2001,3.0,Petrol,Automatic,170307,Used,1500,Camry
269,Kia,2008,4.2,Petrol,Automatic,131780,New,4766.17,Rio
270,Hyundai,2007,1.9,Diesel,Manual,109844,New,5187.2,Elantra
271,Audi,2013,2.7,Hybrid,Automatic,96533,Used,15746.86,Q7
272,BMW,2009,4.5,Hybrid,Automatic,11662,New,17013.16,X3
273,Kia,2008,2.0,Petrol,Automatic,30674,New,9252.86,Optima
274,Honda,2000,2.2,Diesel,Manual,119207,Used,1500,CR-V
275,Toyota,2020,4.1,Hybrid,Manual,195141,Used,17021.36,RAV4
276,Hyundai,2020,4.2,Petrol,Manual,161796,New,17468.73,Tucson
277,Honda,2002,4.7,Hybrid,Automatic,181740,Used,1500,Civic
278,Honda,2022,4.8,Petrol,Manual,179551,Used,17107.4,Fit
279,Honda,2013,2.5,Petrol,Automatic,183151,Used,6976.77,Accord
280,Audi,2003,2.8,Hybrid,Automatic,135108,Used,5742.74,Q7
281,Chevrolet,2012,2.7,Petrol,Manual,87804,Used,7989.04,Tahoe
282,Tesla,2023,0.0,Electric,Automatic,64866,Used,46780.77,Model Y
283,Toyota,2018,1.4,Petrol,Manual,95985,Used,13963.16,Camry
284,Toyota,2020,4.7,Petrol,Automatic,120081,Used,19257.6,Corolla
285,Honda,2009,3.7,Hybrid,Manual,42263,Used,8761.53,CR-V
286,Hyundai,2010,2.5,Hybrid,Manual,81646,New,7779.03,Kona
287,Ford,2014,1.4,Hybrid,Automatic,84287,Used,9662.46,Fiesta
288,Hyundai,2000,3.4,Petrol,Automatic,32510,Used,3395.09,Kona
289,Tesla,2004,0.0,Electric,Automatic,15532,Used,11771.5,Model 3
290,Chevrolet,2000,2.3,Diesel,Automatic,68367,New,3546.82,Malibu
291,Audi,2005,4.1,Diesel,Automatic,33801,Used,11232.69,A3
292,Ford,2022,4.8,Petrol,Manual,107464,Used,20707.71,Focus
293,Toyota,2009,3.6,Hybrid,Automatic,76443,Used,6736.03,Corolla
294,Kia,2015,2.1,Petrol,Automatic,84498,Used,10800.84,Sorento
295,Audi,2009,4.1,Petrol,Manual,150781,Used,10508.47,Q5
296,Ford,2000,3.7,Diesel,Automatic,111657,New,1806.49,Explorer
297,Kia,2011,2.8,Petrol,Automatic,140889,Used,7207.96,Optima
298,Ford,2006,4.4,Petrol,Automatic,165143,Used,2972.33,Mustang
299,Chevrolet,2020,4.6,Hybrid,Automatic,49556,Used,17389.43,Malibu
300,Honda,2008,2.1,Diesel,Manual,51682,Used,7280.67,Accord
301,Kia,2016,4.2,Diesel,Manual,8180,New,20158.85,Sportage
302,Hyundai,2015,2.5,Petrol,Manual,81193,Used,13652.27,Elantra
303,Toyota,2005,3.9,Petrol,Automatic,51830,Used,4675.0,Camry
304,BMW,2011,2.0,Petrol,Manual,49868,Used,15097.06,3 Series
305,Toyota,2016,1.9,Petrol,Automatic,23418,Used,14727.03,RAV4
306,Honda,2014,1.6,Diesel,Manual,149171,Used,10427.34,CR-V
307,BMW,2007,1.6,Hybrid,Automatic,99412,Used,11321.9,5 Series
308,Kia,2018,2.9,Petrol,Automatic,68415,New,20259.59,Sorento
309,Toyota,2018,2.8,Petrol,Automatic,182177,Used,11621.1,Corolla
310,Hyundai,2015,2.2,Petrol,Manual,129783,Used,11130.12,Elantra
311,Tesla,2019,0.0,Electric,Automatic,21157,Used,36727.82,Model S
312,Honda,2001,2.7,Petrol,Manual,17963,Used,4861.68,Civic
313,BMW,2006,1.6,Petrol,Manual,102141,Used,8854.82,X5
314,Kia,2000,2.6,Diesel,Automatic,191707,Used,1500,Rio
315,Honda,2020,2.7,Hybrid,Automatic,161430,Used,14603.47,Fit
316,BMW,2008,3.9,Hybrid,Automatic,47210,Used,13010.58,X5
317,Kia,2020,1.8,Hybrid,Automatic,47361,New,21222.46,Rio
318,Honda,2000,1.4,Petrol,Manual,100033,Used,1968.73,CR-V
319,Hyundai,2004,1.6,Hybrid,Automatic,82353,Used,3659.8,Tucson
320,Honda,2019,2.7,Petrol,Automatic,46061,New,18504.15,CR-V
321,BMW,2022,2.0,Petrol,Manual,89001,Used,31782.93,3 Series
322,Ford,2012,2.0,Petrol,Manual,165498,Used,6606.62,Mustang
323,Kia,2005,1.7,Hybrid,Automatic,17693,New,6633.34,Sorento
324,Chevrolet,2020,1.3,Petrol,Manual,126304,Used,15813.45,Equinox
325,Toyota,2008,1.7,Petrol,Automatic,13882,Used,7746.04,Corolla
326,Hyundai,2012,4.4,Petrol,Automatic,184820,New,7398.98,Kona
327,Kia,2006,2.4,Petrol,Manual,122863,New,4024.53,Sorento
328,Audi,2009,3.2,Petrol,Automatic,155364,New,10630.52,A3
329,Tesla,2004,0.0,Electric,Automatic,46483,New,11258.18,Model X
330,Ford,2018,2.1,Petrol,Manual,27799,New,21672.97,Explorer
331,Toyota,2021,3.1,Petrol,Automatic,79366,New,25975.31,RAV4
332,Chevrolet,2019,4.1,Petrol,Automatic,186625,Used,15218.4,Equinox
333,BMW,2020,1.6,Diesel,Automatic,84208,Used,30308.41,X5
334,Kia,2003,3.6,Petrol,Manual,91382,Used,3450.04,Rio
335,Chevrolet,2012,2.0,Diesel,Manual,154044,Used,6322.08,Malibu
336,Honda,2005,2.7,Petrol,Automatic,139892,Used,2728.45,CR-V
337,Honda,2015,3.2,Diesel,Automatic,136689,Used,9498.79,Accord
338,Subaru,2011,3.8,Petrol,Automatic,171904,New,6984.13,Crosstrek
339,Hyundai,2009,2.9,Diesel,Manual,36245,Used,9317.57,Tucson
340,Tesla,2005,0.0,Electric,Manual,5139,Used,12717.27,Model X
341,Ford,2022,2.3,Petrol,Automatic,126956,New,25848.43,Fiesta
342,Kia,2005,4.4,Petrol,Manual,156167,Used,2194.12,Rio
343,Kia,2014,2.0,Petrol,Automatic,188000,Used,7149.58,Sorento
344,Ford,2003,2.8,Hybrid,Automatic,91109,Used,3753.01,Fiesta
345,Toyota,2022,3.6,Hybrid,Automatic,132360,Used,21997.88,Camry
346,Toyota,2005,4.7,Diesel,Automatic,143280,Used,3163.23,Camry
347,Ford,2009,3.7,Petrol,Manual,17004,New,10173.32,Explorer
348,Kia,2018,4.1,Diesel,Manual,157948,New,16685.96,Optima
349,Honda,2013,1.3,Petrol,Automatic,75244,Used,10729.72,Fit
350,Tesla,2009,0.0,Electric,Automatic,196517,Used,12141.3,Model S
351,BMW,2012,1.9,Petrol,Automatic,173840,Used,11882.8,X3
352,BMW,2014,1.4,Hybrid,Automatic,101361,New,22341.08,5 Series
353,Audi,2010,2.3,Diesel,Manual,103575,Used,14049.11,Q7
354,Audi,2020,3.2,Diesel,Automatic,128588,Used,25732.19,Q5
355,BMW,2001,2.4,Hybrid,Automatic,33456,New,9136.28,3 Series
356,Toyota,2014,3.0,Hybrid,Manual,76325,Used,10864.75,Corolla
357,Kia,2006,2.1,Hybrid,Manual,62563,Used,6275.84,Sportage
358,Chevrolet,2018,2.3,Hybrid,Automatic,161632,Used,14501.73,Equinox
359,Ford,2015,3.1,Petrol,Automatic,94125,Used,11704.47,Focus
360,Kia,2023,1.6,Petrol,Manual,67310,New,26232.93,Optima
